,deposit_type,lead_time,adr,total_of_special_requests,previous_cancellations,market_segment,agent,customer_type
74,0,51,110.3,0,0,2,242.0,0
75,0,3,90.9,0,0,2,240.0,0
76,0,48,123.0,0,0,2,240.0,0
77,0,2,122.0,0,0,2,240.0,0
78,0,72,110.7,0,0,3,105.0,0
79,0,81,85.86,0,0,3,5.0,0
80,0,99,58.95,0,0,3,40.0,1
81,0,368,55.68,0,0,3,40.0,1
82,0,364,55.68,0,0,3,40.0,1
83,0,81,124.0,1,0,0,250.0,0
84,0,99,111.15,0,0,3,115.0,1
85,0,324,134.73,0,0,3,40.0,1
86,0,69,92.45,1,0,2,241.0,0
87,0,79,108.73,2,0,3,242.0,0
88,0,12,73.8,0,0,2,240.0,0
89,0,9,98.0,2,0,2,240.0,0
90,0,1,131.0,1,0,2,240.0,0
91,0,21,123.0,0,0,2,240.0,0
92,0,9,94.71,0,0,2,241.0,0
93,0,109,123.0,2,0,2,240.0,0
94,0,109,123.0,1,0,2,240.0,0
95,0,72,73.8,1,0,2,240.0,0
96,0,63,117.0,1,0,2,242.0,0
97,0,63,196.54,1,0,3,105.0,0
98,0,101,99.3,2,0,2,240.0,0
99,0,102,90.95,0,0,0,250.0,0
100,0,4,92.67,1,0,0,250.0,0
101,0,98,71.55,0,0,3,8.0,0
102,0,92,96.49,2,0,3,241.0,0
103,0,95,85.8,2,0,2,240.0,0
104,0,102,96.3,1,0,2,240.0,0
105,0,26,163.0,0,0,2,240.0,0
106,0,73,172.0,1,0,0,250.0,0
107,0,102,110.7,1,0,2,240.0,0
108,0,115,58.95,1,0,3,134.0,0
109,0,102,73.8,2,0,2,240.0,0
110,0,86,97.0,2,0,2,240.0,0
111,0,78,139.0,2,0,2,240.0,0
112,0,52,67.24,0,0,2,147.0,0
113,0,29,116.5,1,0,2,241.0,0
114,0,101,96.3,1,0,2,240.0,0
115,0,109,123.0,1,0,2,240.0,0
116,0,92,71.55,1,0,3,40.0,1
117,0,92,71.55,1,0,3,40.0,1
118,0,79,149.0,1,0,0,250.0,0
119,0,2,163.0,0,0,2,240.0,0
120,0,30,79.5,0,0,3,8.0,1
121,0,51,105.0,0,0,2,240.0,0
122,0,36,123.0,0,0,0,250.0,0
123,0,73,73.8,2,0,2,240.0,0
124,0,33,113.0,0,0,2,240.0,0
125,0,32,0.0,1,0,4,0.0,0
126,0,8,123.0,0,0,2,240.0,0
127,0,100,73.8,1,0,2,240.0,2
128,0,1,114.5,0,0,2,240.0,0
129,0,100,73.8,2,0,2,240.0,2
130,0,100,73.8,1,0,2,240.0,2
131,0,9,88.2,1,0,2,240.0,0
132,0,5,97.0,0,0,2,240.0,0
133,0,0,85.1,0,0,2,306.0,0
134,0,9,89.0,0,0,2,184.0,0
135,0,2,80.1,0,0,2,240.0,0
136,0,2,98.0,0,0,2,240.0,0
137,0,9,101.0,0,0,2,184.0,0
138,0,5,97.0,0,0,2,240.0,0
139,0,2,167.0,1,0,0,0.0,0
140,0,44,225.0,0,0,2,240.0,0
141,0,80,97.0,0,0,2,240.0,0
142,0,97,87.3,2,0,2,240.0,0
143,0,109,85.59,2,0,3,241.0,0
144,0,30,123.0,0,0,2,240.0,0
145,0,64,107.0,0,0,2,240.0,0
146,0,39,163.0,0,0,2,240.0,0
147,0,90,82.0,0,0,2,240.0,0
148,0,34,163.0,0,0,2,240.0,0
149,0,93,105.5,0,0,3,15.0,0
150,0,97,164.2,1,0,0,250.0,0
151,0,29,97.29,1,0,2,241.0,0
152,0,101,114.0,1,0,2,240.0,0
153,0,27,98.4,0,0,3,175.0,0
154,0,8,175.0,1,0,2,240.0,0
155,0,82,63.6,2,0,3,5.0,0
156,0,94,124.45,1,0,0,0.0,0
157,0,110,110.7,0,0,3,40.0,1
158,0,96,74.07,0,0,3,40.0,1
159,0,79,134.1,0,0,3,243.0,1
160,0,115,167.0,0,0,2,240.0,0
161,0,111,123.0,2,0,2,240.0,0
162,0,51,117.81,2,0,2,241.0,0
163,0,94,171.32,1,0,3,96.0,0
164,0,81,210.0,0,0,0,250.0,0
165,0,84,97.0,2,0,2,240.0,0
166,0,51,117.81,2,0,2,241.0,0
167,0,111,0.0,2,0,2,240.0,0
168,0,0,0.0,0,0,0,250.0,0
169,0,2,131.0,0,0,0,0.0,0
170,0,7,98.0,2,0,2,240.0,0
171,0,98,87.3,1,0,2,240.0,0
172,0,95,97.0,1,0,2,240.0,0
173,0,48,167.0,0,0,2,240.0,0
174,0,66,91.5,0,0,3,175.0,0
175,0,104,73.8,1,0,2,240.0,0
176,0,28,123.0,0,0,2,240.0,0
177,0,34,175.0,0,0,0,250.0,0
178,0,98,117.8,1,0,2,240.0,0
179,0,104,117.63,0,0,2,240.0,0
180,0,68,185.0,0,0,2,240.0,0
181,0,86,71.0,1,0,3,175.0,0
182,0,258,47.25,0,0,3,2.0,1
183,0,111,151.0,1,0,2,240.0,0
184,0,94,87.3,0,0,2,240.0,0
185,0,112,120.6,1,0,3,242.0,0
186,0,100,63.86,1,0,3,241.0,0
187,0,33,157.1,1,0,0,250.0,0
188,0,97,91.37,2,0,3,156.0,1
189,0,80,73.0,0,0,0,0.0,0
190,0,90,110.7,0,0,3,8.0,1
191,0,111,93.6,0,0,3,40.0,1
192,0,65,83.5,0,0,3,127.0,0
193,0,67,73.8,1,0,2,240.0,0
194,0,55,82.0,2,0,2,240.0,0
195,0,21,185.5,1,0,0,250.0,0
196,0,8,0.0,1,0,0,0.0,0
197,0,8,0.0,1,0,2,240.0,0
198,0,0,109.8,3,0,2,240.0,0
199,0,0,195.0,0,0,0,0.0,0
200,0,0,109.8,3,0,2,240.0,0
201,0,8,193.0,1,0,2,240.0,0
202,0,66,97.0,2,0,2,240.0,0
203,0,88,150.0,1,0,3,95.0,0
204,0,0,98.0,0,0,0,0.0,0
205,0,43,91.5,0,0,3,134.0,0
206,0,88,139.0,2,0,2,240.0,0
207,0,54,79.5,0,0,3,8.0,0
208,0,292,47.25,0,0,3,2.0,1
209,0,112,126.65,1,0,3,156.0,1
210,0,68,107.0,1,0,2,240.0,0
211,0,7,131.0,2,0,2,240.0,0
212,0,1,131.0,1,0,2,240.0,0
213,0,113,123.0,1,0,2,240.0,0
214,0,5,146.0,1,0,2,240.0,0
215,0,83,110.7,1,0,3,105.0,0
216,0,105,73.8,1,0,2,240.0,0
217,0,0,61.0,0,0,3,146.0,0
218,0,1,104.72,1,0,1,0.0,0
219,0,1,104.72,1,0,1,0.0,0
220,0,1,104.72,1,0,1,0.0,0
221,0,102,66.42,1,0,0,9.0,0
222,0,113,77.96,1,0,0,250.0,0
223,0,280,112.0,1,0,3,40.0,1
224,0,96,107.0,1,0,2,240.0,0
225,0,394,89.68,0,0,3,40.0,1
226,0,33,155.0,0,0,2,240.0,0
227,0,82,112.0,1,0,0,250.0,0
228,0,100,130.1,3,0,2,240.0,2
229,0,100,100.1,2,0,2,240.0,2
230,0,17,123.0,3,0,2,242.0,0
231,0,68,124.0,1,0,0,250.0,0
232,0,12,146.0,0,0,0,0.0,0
233,0,77,97.0,0,0,0,250.0,0
234,0,24,123.0,1,0,2,242.0,0
235,0,44,153.0,0,0,2,240.0,0
236,0,78,82.0,2,0,2,240.0,0
237,0,17,105.08,0,0,2,240.0,0
238,0,103,65.42,0,0,2,240.0,0
239,0,16,98.0,1,0,0,250.0,0
240,0,14,75.46,1,0,2,241.0,0
241,0,77,65.5,0,0,3,177.0,0
242,0,90,90.95,0,0,3,6.0,0
243,0,90,93.6,0,0,3,40.0,1
244,0,90,119.25,0,0,3,143.0,1
245,0,366,134.73,0,0,3,40.0,1
246,0,249,112.0,1,0,2,240.0,0
247,0,69,118.13,2,0,2,240.0,0
248,0,10,131.0,0,0,0,250.0,0
249,0,22,88.2,0,0,2,240.0,0
250,0,91,73.8,1,0,2,240.0,0
251,0,23,98.0,0,0,2,240.0,0
252,0,11,110.5,1,0,2,240.0,0
253,0,3,131.0,1,0,2,240.0,0
254,0,13,185.0,1,0,2,240.0,0
255,0,108,87.3,2,0,2,240.0,0
256,0,91,73.8,1,0,2,240.0,0
257,0,37,120.0,1,0,2,105.0,0
258,0,21,98.0,1,0,0,250.0,0
259,0,106,96.3,2,0,2,240.0,0
260,0,30,197.0,1,0,0,0.0,2
261,0,30,197.0,1,0,0,0.0,2
262,0,51,123.0,0,0,2,240.0,0
263,0,79,82.0,2,0,2,240.0,0
264,0,21,165.0,3,0,0,250.0,0
265,0,35,149.4,0,0,2,240.0,0
266,0,78,106.84,2,0,2,240.0,0
267,0,31,161.0,1,0,0,250.0,0
268,0,78,134.43,2,0,2,240.0,0
269,0,78,144.43,2,0,2,240.0,0
270,0,44,152.0,0,0,3,244.0,0
271,0,34,125.54,3,0,2,241.0,0
272,0,87,133.83,2,0,3,5.0,0
273,0,11,159.75,0,0,0,250.0,0
274,0,115,120.6,2,0,2,240.0,0
275,0,86,112.2,0,0,2,240.0,0
276,0,41,110.6,0,0,2,241.0,0
277,0,32,105.9,0,0,2,241.0,0
278,0,34,95.27,3,0,2,241.0,0
279,0,34,108.83,1,0,2,241.0,0
280,0,100,153.96,0,0,3,149.0,0
281,0,44,120.6,0,0,2,240.0,0
282,0,304,90.67,1,0,0,240.0,0
283,0,36,126.67,0,0,2,240.0,0
284,0,117,144.4,1,0,3,15.0,0
285,0,70,99.5,2,0,2,240.0,0
286,0,110,139.4,1,0,0,250.0,0
287,0,109,73.8,1,0,2,240.0,0
288,0,33,89.97,1,0,2,241.0,0
289,0,33,123.0,0,0,2,240.0,0
290,0,33,123.0,0,0,2,240.0,0
291,0,0,123.0,0,0,0,0.0,0
292,0,0,144.9,1,0,2,240.0,0
293,0,0,153.0,0,0,0,0.0,0
294,0,0,131.0,1,0,2,240.0,0
295,0,84,100.0,0,0,1,0.0,0
296,0,71,65.5,0,0,3,175.0,0
297,0,16,123.0,1,0,2,242.0,0
298,0,54,123.0,0,0,2,240.0,0
299,0,8,131.0,0,0,2,240.0,0
300,0,36,104.68,0,0,3,5.0,0
301,0,40,166.0,0,0,2,242.0,0
302,0,59,111.25,2,0,2,240.0,0
303,0,79,213.75,0,0,0,250.0,0
304,0,32,178.0,0,0,2,240.0,0
305,0,110,113.9,1,0,0,250.0,0
306,0,33,129.29,0,0,2,240.0,0
307,0,53,153.0,0,0,2,240.0,0
308,0,2,98.0,2,0,2,240.0,0
309,0,8,169.0,2,0,2,240.0,0
310,0,72,93.0,2,0,2,240.0,0
311,0,12,132.29,0,0,2,240.0,0
312,0,48,123.0,1,0,3,243.0,0
313,0,90,117.22,1,0,3,5.0,2
314,0,34,149.0,1,0,3,156.0,0
315,0,58,164.57,1,0,0,250.0,0
316,0,59,107.0,0,0,3,115.0,1
317,0,90,117.22,2,0,3,5.0,2
318,0,116,119.25,0,0,3,40.0,1
319,0,31,123.0,0,0,3,243.0,0
320,0,51,105.71,0,0,2,241.0,0
321,0,48,123.0,1,0,3,243.0,0
322,0,59,144.43,2,0,2,240.0,0
323,0,97,126.0,1,0,2,240.0,0
324,0,12,148.3,2,0,2,240.0,0
325,0,64,125.22,1,0,2,240.0,0
326,0,31,123.0,0,0,3,243.0,0
327,0,59,130.0,1,0,3,243.0,1
328,0,55,133.16,1,0,3,8.0,1
329,0,81,78.84,0,0,3,147.0,0
330,0,1,80.1,0,0,2,240.0,0
331,0,34,193.0,1,0,2,240.0,0
332,0,13,88.2,0,0,2,240.0,0
333,0,40,90.71,0,0,2,241.0,0
334,0,1,114.5,1,0,2,240.0,0
335,0,34,120.2,1,0,2,240.0,0
336,0,88,79.5,0,0,3,8.0,1
337,0,9,117.9,3,0,2,240.0,0
338,0,24,128.0,0,0,2,240.0,0
339,0,97,90.95,0,0,3,6.0,0
340,0,60,107.0,2,0,2,240.0,0
341,0,100,130.05,1,0,0,250.0,0
342,0,50,123.0,0,0,3,156.0,1
343,0,47,103.8,0,0,2,241.0,0
344,0,8,196.0,1,0,2,240.0,0
345,0,34,149.4,0,0,2,240.0,0
346,0,47,175.71,0,0,2,240.0,0
347,0,115,119.7,2,0,3,134.0,2
348,0,79,100.86,1,0,2,240.0,0
349,0,91,100.86,0,0,2,240.0,0
350,0,98,82.0,3,0,2,240.0,2
351,0,109,73.8,1,0,2,240.0,0
352,0,0,117.9,0,0,2,240.0,0
353,0,98,82.0,3,0,2,240.0,2
354,0,0,150.0,0,0,0,0.0,0
355,0,9,161.0,2,0,2,240.0,0
356,0,62,64.0,2,0,2,147.0,0
357,0,45,123.0,0,0,2,240.0,0
358,0,42,110.0,0,0,2,240.0,0
359,0,54,88.2,1,0,2,240.0,0
360,0,51,130.0,0,0,2,240.0,0
361,0,54,88.2,1,0,2,240.0,0
362,0,58,165.0,1,0,0,250.0,0
363,0,0,114.0,0,0,1,167.0,0
364,0,60,79.5,0,0,3,15.0,0
365,0,321,132.8,1,0,0,240.0,0
366,0,40,120.0,2,0,0,250.0,0
367,0,51,79.5,0,0,3,156.0,1
368,0,38,120.0,0,0,0,0.0,0
369,0,75,144.2,1,0,2,240.0,0
370,0,101,107.2,0,0,2,240.0,0
371,0,42,120.0,0,0,2,240.0,0
372,0,40,120.0,2,0,0,250.0,0
373,0,109,163.8,1,0,0,0.0,0
374,0,81,98.5,2,0,2,240.0,0
375,0,98,130.5,0,0,2,240.0,0
376,0,32,153.0,0,0,3,300.0,0
377,0,72,98.5,2,0,2,240.0,0
378,0,115,119.7,2,0,3,134.0,2
379,0,118,184.6,1,0,0,250.0,0
380,0,81,181.22,2,0,0,250.0,0
381,0,95,100.86,1,0,2,240.0,0
382,0,16,100.2,3,0,2,240.0,0
383,0,56,134.25,0,0,2,240.0,0
384,0,88,96.3,0,0,3,8.0,1
385,0,41,83.09,2,0,2,147.0,0
386,0,40,105.5,0,0,3,171.0,0
387,0,1,134.0,0,0,1,0.0,0
388,0,1,8.0,1,0,2,240.0,0
389,0,1,146.0,1,0,2,240.0,0
390,0,76,126.0,2,0,2,240.0,0
391,0,0,111.15,1,0,2,240.0,0
392,0,49,136.2,2,0,2,240.0,0
393,0,76,101.8,0,0,0,250.0,0
394,0,73,127.0,1,0,0,0.0,2
395,0,73,161.5,2,0,0,0.0,2
396,0,317,230.67,2,0,0,240.0,0
397,0,112,65.7,1,0,2,240.0,0
398,0,6,180.0,2,0,2,240.0,0
399,0,8,168.57,1,0,2,240.0,0
400,0,96,107.67,1,0,3,242.0,0
401,0,96,96.9,1,0,2,240.0,0
402,0,99,107.0,1,0,0,0.0,0
403,0,66,73.41,0,0,2,147.0,0
404,0,38,109.9,2,0,2,241.0,0
405,0,38,109.9,2,0,2,241.0,0
406,0,113,187.5,3,0,0,0.0,0
407,0,0,134.0,0,0,1,0.0,0
408,0,62,91.5,0,0,3,171.0,0
409,0,39,132.44,0,0,2,240.0,0
410,0,37,106.9,0,0,2,241.0,0
411,0,58,131.86,0,0,2,240.0,0
412,0,37,216.13,0,0,2,240.0,0
413,0,57,107.0,0,0,5,305.0,2
414,0,57,107.0,0,0,5,305.0,2
415,0,57,107.0,0,0,5,305.0,2
416,0,57,107.0,0,0,5,305.0,2
417,0,57,107.0,0,0,5,305.0,0
418,0,83,190.33,1,0,2,240.0,0
419,0,57,107.0,0,0,5,305.0,0
420,0,57,94.0,0,0,5,305.0,2
421,0,57,0.0,0,0,5,305.0,2
422,0,57,98.75,0,0,5,305.0,2
423,0,57,148.23,0,0,5,305.0,2
424,0,57,94.0,0,0,5,305.0,2
425,0,57,107.0,0,0,5,305.0,0
426,0,57,107.0,0,0,5,305.0,0
427,0,57,148.23,0,0,5,305.0,2
428,0,57,0.0,0,0,5,305.0,2
429,0,57,107.0,0,0,5,305.0,2
430,0,57,107.0,0,0,5,305.0,0
431,0,57,107.0,0,0,5,305.0,0
432,0,57,107.0,0,0,5,305.0,2
433,0,57,98.75,0,0,5,305.0,2
434,0,66,195.0,1,0,2,240.0,0
435,0,13,120.6,1,0,2,240.0,0
436,0,50,123.2,0,0,2,241.0,0
437,0,48,112.0,0,0,0,146.0,0
438,0,0,123.2,0,0,2,241.0,0
439,0,7,169.0,1,0,2,242.0,0
440,0,0,198.0,0,0,0,0.0,0
441,0,66,103.5,1,0,2,240.0,0
442,0,13,135.6,1,0,2,240.0,0
443,0,66,103.5,1,0,2,240.0,0
444,0,10,184.0,0,0,0,250.0,0
445,0,10,134.0,0,0,0,250.0,0
446,0,58,147.0,0,0,2,240.0,0
447,0,17,151.33,0,0,2,240.0,0
448,0,19,121.33,1,0,2,240.0,0
449,0,10,150.2,1,0,0,250.0,2
450,0,12,139.0,0,0,0,0.0,0
451,0,10,150.2,1,0,0,250.0,2
452,0,63,75.44,1,0,2,147.0,0
453,0,35,135.0,0,0,2,240.0,0
454,0,113,166.0,1,0,2,240.0,0
455,0,35,135.0,0,0,2,240.0,0
456,0,68,130.0,0,0,3,243.0,1
457,0,113,96.3,0,0,3,67.0,0
458,0,21,160.0,0,0,0,0.0,0
459,0,6,0.0,1,0,2,240.0,0
460,0,7,127.25,1,0,0,0.0,0
461,0,17,164.0,2,0,2,240.0,0
462,0,1,144.5,0,0,2,240.0,0
463,0,2,112.0,0,0,3,196.0,0
464,0,15,134.0,1,0,2,240.0,0
465,0,7,127.25,1,0,0,0.0,0
466,0,11,155.5,0,0,2,240.0,0
467,0,6,110.5,1,0,2,241.0,0
468,0,1,144.5,0,0,0,0.0,0
469,0,1,144.5,0,0,0,250.0,0
470,0,48,123.0,0,0,3,196.0,0
471,0,15,120.6,1,0,2,240.0,0
472,0,3,107.6,0,0,3,5.0,0
473,0,23,120.6,1,0,2,240.0,0
474,0,53,107.0,0,0,3,152.0,2
475,0,53,133.75,0,0,3,152.0,2
476,0,94,103.5,0,0,0,250.0,0
477,0,64,84.8,1,0,3,175.0,2
478,0,53,107.0,0,0,3,152.0,2
479,0,53,107.0,0,0,3,152.0,2
480,0,64,84.8,1,0,3,175.0,2
481,0,53,107.0,0,0,3,152.0,2
482,0,24,195.0,1,0,0,0.0,0
483,0,24,164.0,0,0,2,240.0,0
484,0,23,195.0,0,0,0,250.0,0
485,0,53,125.0,2,0,2,240.0,0
486,0,23,195.0,0,0,0,250.0,0
487,0,90,132.3,3,0,2,240.0,0
488,0,79,145.0,2,0,2,240.0,0
489,0,43,92.0,0,0,3,142.0,0
490,0,90,132.3,3,0,2,240.0,0
491,0,65,147.0,2,0,2,240.0,0
492,0,65,167.0,2,0,2,240.0,0
493,0,99,210.0,1,0,0,250.0,0
494,0,25,194.9,2,0,0,0.0,0
495,0,92,103.5,3,0,2,240.0,0
496,0,91,118.5,3,0,2,240.0,0
497,0,38,192.0,1,0,2,240.0,0
498,0,6,128.27,0,0,3,142.0,1
499,0,38,135.0,0,0,2,240.0,0
500,0,13,126.3,2,0,2,240.0,0
501,0,32,154.0,0,0,2,240.0,0
502,0,315,96.3,0,0,3,171.0,0
503,0,8,126.3,2,0,2,240.0,0
504,0,0,136.0,0,0,0,0.0,0
505,0,91,118.5,3,0,2,240.0,0
506,0,3,116.33,1,0,2,240.0,0
507,0,9,164.0,1,0,0,0.0,0
508,0,19,147.67,2,0,2,240.0,0
509,0,25,145.0,0,0,0,250.0,0
510,0,108,147.0,2,0,2,240.0,0
511,0,37,168.3,0,0,2,242.0,0
512,0,45,167.0,0,0,2,240.0,0
513,0,64,137.75,1,0,0,0.0,0
514,0,44,145.0,0,0,0,250.0,0
515,0,26,132.6,0,0,2,240.0,0
516,0,96,147.0,0,0,2,240.0,0
517,0,123,157.0,2,0,2,240.0,0
518,0,42,210.0,0,0,2,240.0,0
519,0,59,132.5,0,0,3,8.0,1
520,0,28,98.02,1,0,2,241.0,0
521,0,106,126.0,2,0,0,0.0,0
522,0,1,173.0,1,0,0,0.0,0
523,0,0,249.0,0,0,0,0.0,0
524,0,4,186.5,0,0,2,240.0,0
525,0,3,95.0,1,0,0,0.0,0
526,0,73,241.5,2,0,0,0.0,0
527,0,44,177.0,0,0,2,240.0,0
528,0,95,153.73,0,0,3,5.0,0
529,0,94,115.0,1,0,0,250.0,0
530,0,40,127.03,2,0,3,196.0,0
531,0,64,128.25,1,0,0,0.0,0
532,0,64,128.25,1,0,0,0.0,0
533,0,94,115.0,1,0,0,250.0,0
534,0,57,135.0,1,0,3,196.0,0
535,0,60,167.0,0,0,2,240.0,0
536,0,57,135.0,1,0,3,196.0,0
537,0,87,124.5,0,0,2,240.0,0
538,0,0,98.0,0,0,0,0.0,0
539,0,0,98.0,0,0,2,240.0,3
540,0,6,135.0,0,0,0,250.0,0
541,0,0,88.2,0,0,2,0.0,3
542,0,19,120.6,1,0,2,240.0,0
543,0,4,154.5,2,0,2,240.0,0
544,0,59,145.0,0,0,2,240.0,0
545,0,44,92.0,0,0,0,0.0,0
546,0,37,154.0,0,0,2,240.0,0
547,0,66,115.0,1,0,0,0.0,0
548,0,38,110.53,0,0,3,5.0,0
549,0,62,158.5,1,0,3,261.0,0
550,0,41,131.37,1,0,2,241.0,0
551,0,60,117.71,0,0,2,240.0,0
552,0,104,123.0,1,0,3,115.0,1
553,0,62,158.5,1,0,3,261.0,0
554,0,117,117.84,2,0,2,240.0,0
555,0,31,154.0,0,0,2,240.0,0
556,0,34,116.85,0,0,3,156.0,0
557,0,47,129.16,1,0,2,241.0,0
558,0,24,214.0,0,0,2,240.0,0
559,0,104,115.0,2,0,2,240.0,0
560,0,104,123.0,1,0,3,115.0,1
561,0,32,123.0,0,0,3,156.0,0
562,0,47,195.0,0,0,2,240.0,0
563,0,29,135.2,0,0,3,142.0,1
564,0,30,123.0,2,0,3,243.0,0
565,0,123,130.5,1,0,2,240.0,0
566,0,14,123.0,0,0,3,104.0,0
567,0,118,179.1,2,0,2,240.0,0
568,0,0,0.0,0,0,3,5.0,0
569,0,0,0.0,1,0,2,241.0,0
570,0,79,115.0,3,0,2,240.0,0
571,0,63,115.0,0,0,2,240.0,0
572,0,68,103.5,2,0,2,240.0,0
573,0,96,157.0,0,0,0,250.0,0
574,0,41,135.0,1,0,2,240.0,0
575,0,46,111.65,0,0,2,241.0,0
576,0,41,135.0,1,0,2,240.0,0
577,0,60,195.0,0,0,2,240.0,0
578,0,41,104.0,0,0,3,175.0,0
579,0,69,135.0,0,0,2,240.0,0
580,0,41,214.0,1,0,2,240.0,0
581,0,52,133.17,0,0,0,250.0,0
582,0,41,141.33,1,0,2,240.0,0
583,0,89,121.01,1,0,3,241.0,0
584,0,28,240.64,0,0,0,0.0,0
585,0,65,167.5,0,0,2,105.0,0
586,0,82,152.43,3,0,2,240.0,0
587,0,42,148.34,0,0,3,175.0,0
588,0,62,167.0,1,0,2,240.0,0
589,0,86,172.93,1,0,0,250.0,0
590,0,118,179.1,1,0,2,240.0,0
591,0,28,192.5,1,0,3,15.0,0
592,0,52,92.0,0,0,3,142.0,0
593,0,49,111.2,0,0,3,15.0,0
594,0,39,141.6,1,0,3,142.0,0
595,0,39,141.6,1,0,3,142.0,0
596,0,39,141.6,1,0,3,142.0,0
597,0,7,200.0,0,0,3,196.0,0
598,0,7,200.0,0,0,3,196.0,0
599,0,42,157.0,0,0,2,240.0,0
600,0,5,99.5,0,0,1,0.0,0
601,0,81,115.0,2,0,2,240.0,0
602,0,63,195.0,0,0,2,240.0,0
603,0,61,103.5,0,0,2,240.0,0
604,0,8,207.0,0,0,0,250.0,0
605,0,89,163.33,1,0,0,250.0,0
606,0,57,151.86,0,0,2,240.0,0
607,0,102,95.57,1,0,3,6.0,0
608,0,108,112.05,1,0,2,240.0,0
609,0,28,160.0,1,0,0,250.0,0
610,0,29,103.18,1,0,2,241.0,0
611,0,0,153.0,0,0,0,0.0,0
612,0,96,119.75,1,0,2,240.0,0
613,0,44,135.0,1,0,2,240.0,0
614,0,44,167.69,1,0,2,242.0,0
615,0,44,195.0,1,0,2,240.0,0
616,0,44,135.0,1,0,2,240.0,0
617,0,41,178.4,0,0,2,240.0,0
618,0,16,0.0,0,0,2,242.0,0
619,0,73,0.0,1,0,2,240.0,0
620,0,3,154.0,1,0,2,240.0,0
621,0,0,134.0,0,0,0,250.0,0
622,0,55,112.0,0,0,0,146.0,0
623,0,33,194.0,1,0,2,240.0,2
624,0,19,153.0,0,0,2,240.0,0
625,0,55,135.0,0,0,2,240.0,0
626,0,33,184.0,1,0,2,240.0,0
627,0,19,210.0,0,0,2,240.0,0
628,0,19,139.0,0,0,0,0.0,0
629,0,117,101.46,0,0,3,241.0,0
630,0,72,145.0,0,0,2,240.0,0
631,0,19,173.0,0,0,2,240.0,0
